fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
6.6,0.3,0.36,1.2,0.035,43,126,0.9909,3.01,0.63,11.4,6,white
7.7,0.5,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,red
8.4,0.5,0.35,2.9,0.076,21,127,0.9976,3.23,0.63,9.2,5,red
7.5,0.4,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6,white
6.4,0.2,0.25,20.2,0.083,35,157,0.9998,3.17,0.5,9.1,5,white
7.6,0.3,0.52,13.2,0.042,61,148,0.9984,2.98,0.47,9.1,6,white
6.4,0.3,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6,white
6.6,0.3,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6,white
7.6,0.3,0.25,9.5,0.03,15,136,0.9937,3.1,0.44,12.1,6,white
7.6,0.3,0.49,20.2,0.06,30,145,1.002,3.01,0.44,8.5,5,white
6.6,0.2,0.33,1.8,0.035,42,148,0.992,3.15,0.36,10.2,5,white
6.4,0.2,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6,white
6.2,0.3,0.27,1.3,0.037,30,86,0.9883,3.05,0.59,12.9,7,white
6.1,0.2,0.37,2.6,0.041,24,99,0.9915,3.18,0.5,10.9,6,white
6.5,0.3,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5,white
5.9,0.1,0.2,1.6,0.04,26,114,0.9911,3.25,0.45,11.4,6,white
6.7,0.2,0.36,8.4,0.042,42,123,0.9947,3.34,0.52,10.9,6,white
6,0.3,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,white
8.8,0.4,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5,red
7.8,0.3,0.35,1.2,0.05,36,140,0.9914,3.09,0.45,11.2,5,white
7,0.4,0.19,2.3,0.071,18,36,0.9948,3.39,0.56,10.9,5,red
8.2,0.4,0.38,2.6,0.093,23,60,0.9979,3.31,0.71,10.9,6,red
6.3,0.3,0.42,17.2,0.037,57,170,0.9988,3.26,0.57,9.4,6,white
6.8,0.4,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5,white
7.6,0.6,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,red
7.8,0.2,0.23,7.6,0.046,22,98,0.9951,2.95,0.32,9.4,7,white
7.6,0.2,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,6,white
7.1,0.2,0.34,1,0.033,27,73,0.9897,3.24,0.41,12.2,6,white
6.2,0.2,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,6,white
8.1,0.3,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4,white
7.9,0.4,0.26,4.5,0.033,23,100,0.9912,3.17,0.52,12.7,6,white
6,0.3,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,white
6.6,0.7,0,2.1,0.074,13,56,0.997,3.49,0.67,9.1,6,red
6.6,0.3,0.34,2.6,0.051,41,210,0.9931,3.15,0.61,10,5,white
6.9,0.3,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,white
6.7,0.3,0.31,16.4,0.051,20,146,0.9983,3.06,0.54,9.1,5,white
11.9,0.6,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,red
6,0.3,0.3,1.3,0.025,18,112,0.988,3.07,0.64,13.3,7,white
5.9,0.4,0.32,1.6,0.029,41,102,0.9892,3.41,0.55,12.7,7,white
8.5,0.2,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5,white
6.3,0.6,0.1,1.6,0.048,12,26,0.9931,3.55,0.51,12.1,5,red
6.8,0.3,0.43,7.6,0.03,30,110,0.9916,3.08,0.59,12.5,8,white
6.4,0.3,0.39,0.8,0.051,9,141,0.9927,3.45,0.49,10.4,7,white
6.3,0.3,0.42,7.1,0.045,62,209,0.9954,3.2,0.53,9.5,6,white
7.4,0.2,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,white
6.8,0.3,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5,white
6.8,0.3,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,white
7.4,0.3,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5,white
6.5,0.3,0.38,8.3,0.048,68,174,0.9949,3.14,0.5,9.6,5,white
6.5,0.3,0.52,7.9,0.049,35,192,0.9955,3.16,0.51,9.5,6,white
6.7,0.2,0.38,1.7,0.037,20,84,0.9905,3.09,0.53,11.4,6,white
7.7,0.5,0.06,1.7,0.074,9,39,0.9962,3.35,0.48,9.8,6,red
5.8,0.1,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,6,white
9.6,0.2,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5,white
5.6,0.4,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7,white
7.1,0.2,0.4,14.6,0.047,47,156,0.9995,3.34,0.78,9.1,6,white
6.7,0.5,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,white
6.8,0.2,0.35,1.8,0.04,29,84,0.9896,2.91,0.57,12,7,white
6,0.2,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5,white
6.3,0.3,0.37,7.9,0.047,58,215,0.9954,3.19,0.48,9.5,6,white
6.1,0.6,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6,white
7.3,0.4,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,red
6.6,0.3,0.25,1.3,0.04,28,85,0.9898,2.87,0.48,11.2,6,white
6.3,0.3,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6,white
10,0.9,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4,white
6.9,0.2,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5,white
6.4,0.1,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6,white
10.9,0.4,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,red
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,red
6.2,0.2,0.27,4.6,0.037,40,131,0.993,3.4,0.47,10.7,7,white
6.6,0.2,0.14,4.4,0.184,35,168,0.994,2.93,0.45,9.4,6,white
6.4,0.2,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6,white
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6,white
6.6,0.3,0.3,2.3,0.048,20,127,0.9896,3.13,0.52,12.9,6,white
5.6,0.4,0.24,1.9,0.034,10,53,0.9882,3.32,0.5,13.5,7,white
6.2,0.5,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,white
8.6,0.5,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,red
6,0.3,0.15,1.3,0.06,51,154,0.9935,3.14,0.51,8.7,5,white
6.8,0.2,0.72,1.1,0.048,25,112,0.9916,3.13,0.42,10.7,7,white
6.4,0.3,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6,white
10,0.6,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,red
7.4,0.7,0.01,1.9,0.085,8,22,0.9983,3.61,0.97,9.8,6,red
5.7,0.2,0.33,1.9,0.036,37,110,0.9895,3.26,0.58,12.4,6,white
5.6,0.7,0,2.2,0.087,3,11,0.9938,3.71,0.63,12.8,7,red
6.4,0.2,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8,white
5.9,0.2,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,5,white
7,0.2,0.26,6.9,0.047,30,220,0.9962,3.38,0.58,10.1,6,white
7.7,0.2,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6,white
7.2,0.4,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6,red
7.1,0.4,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6,white
7.5,0.2,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,7,white
7.5,0.1,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6,white
8.9,0.9,0.13,3.5,0.088,4,14,0.9994,3.44,0.52,11.5,5,red
6.3,0.2,0.22,1.3,0.046,18,66,0.9931,3.61,0.55,10.3,6,white
5.1,0.4,0.26,6.8,0.034,36,120,0.9919,3.38,0.4,11.5,6,white
5,0.3,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,white
6.7,0.3,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,6,white
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,white
9.9,0.5,0.2,11,0.071,14,48,1.0016,3.16,0.69,9.4,6,red
7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7,white
5.8,0.3,0.27,1.7,0.014,45,104,0.9891,3.4,0.56,12.6,7,white
8.6,0.3,0.3,0.9,0.045,16,109,0.9925,2.95,0.39,10.1,5,white
10,0.4,0.38,1.6,0.169,27,90,0.9991,3.15,0.65,8.5,5,red
6.8,0.2,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5,white
7.5,0.3,0.31,9,0.055,20,151,0.9968,3.08,0.54,9.3,5,white
7.1,0.4,0.2,2.8,0.038,28,109,0.9897,3.23,0.47,13.4,6,white
9.1,0.3,0.46,9,0.114,3,9,0.999,3.18,0.6,10.9,6,red
6.7,0.2,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7,white
5.7,0.3,0.35,1.2,0.052,39,141,0.9911,3.44,0.69,11.3,6,white
6.6,0.5,0.26,11.3,0.029,32,110,0.993,3.27,0.78,12.9,8,white
6.3,0.2,0.24,1.7,0.052,36,135,0.9937,3.8,0.66,10.8,6,white
6.6,0.4,0.32,1.4,0.05,10,68,0.992,3.08,0.39,11.3,6,white
6.8,0.3,0.43,7.6,0.03,30,110,0.9916,3.08,0.59,12.5,8,white
6.1,0.4,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6,white
7.4,0.2,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,white
5.8,0.2,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5,white
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6,white
5.6,0.2,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,white
7.4,0.3,0.26,15.6,0.049,67,210,0.9991,3.06,0.68,9.5,5,white
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7,white
7.1,0.9,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5,white
7.4,0.6,0.19,1.8,0.082,15,34,0.9966,3.49,0.68,10.5,5,red
7,0.2,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6,white
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,white
8.5,0.7,0.62,2.2,0.112,13,96,0.9971,3.15,0.54,8.9,5,red
13.3,0.3,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7,red
5.8,0.1,0.15,6.1,0.042,27,123,0.9936,3.06,0.6,9.9,6,white
8.9,0.6,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,red
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6,red
6.7,0.6,0.19,1.9,0.08,7,63,0.9969,3.53,0.58,9.2,6,red
7.4,0.6,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,red
8.9,0.6,0.49,2.1,0.269,23,110,0.9973,3.12,1.02,9.4,5,red
7,0.4,0.41,5.4,0.073,28,127,0.9973,3.43,0.71,10.4,6,red
6.4,0.2,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7,white
7.4,0.3,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,white
5.5,0.1,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,white
7.2,0.2,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6,white
7.2,0.4,0.54,1.4,0.157,34,132,0.9945,3.11,0.53,9,6,white
7.9,0.7,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5,red
10.5,0.2,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,red
6.8,0.6,0.04,1.3,0.058,25,133,0.9927,3.17,0.39,10.2,4,white
6.6,0.6,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5,white
7.3,0.7,0,2.2,0.08,18,28,0.9977,3.41,0.6,9.4,5,red
7.3,0.6,0.01,1.8,0.093,9,15,0.9951,3.35,0.58,11,7,red
7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5,white
6.6,0.2,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6,white
5.8,0.2,0.29,0.9,0.034,34,89,0.9894,3.14,0.36,11.1,7,white
8.1,0.2,0.38,4.3,0.044,49,172,0.996,3.37,0.74,10.8,6,white
6.1,0.3,0.33,10.7,0.036,27,98,0.9952,3.34,0.52,10.2,6,white
4.9,0.3,0.14,1.3,0.036,69,168,0.9921,3.47,0.46,10.5,5,white
6.4,0.3,0.27,5,0.058,27,151,0.992,3.22,0.49,12.2,6,white
5.8,0.3,0.38,4.8,0.032,23,96,0.9911,3.43,0.41,12,7,white
6.6,0.3,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,6,white
6,0.3,0.26,5.1,0.051,16,119,0.9942,3.15,0.41,9.2,5,white
